chunk_id,parent_id,source,chunk_type,title,location,industry,text,metadata
demand_DBS-__DBS-__2025__2591399,DBS-__DBS-__2025__2591399,demand,demand,test manager,"bengaluru, india",,"job posting job title: test manager location: bengaluru, india primary skills: selenium secondary skills: azure, azure api management, java experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""test manager"", ""location"": ""bengaluru, india"", ""parent_id"": ""DBS-__DBS-__2025__2591399"", ""skills"": [""selenium"", ""azure"", ""azure api management"", ""java""], ""source"": ""demand""}"
demand_DBS-__DBS-__2025__2641900,DBS-__DBS-__2025__2641900,demand,demand,senior technical lead,"pune, india",,"job posting job title: senior technical lead location: pune, india primary skills: servicenow itbm secondary skills: servicenow technical experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""senior technical lead"", ""location"": ""pune, india"", ""parent_id"": ""DBS-__DBS-__2025__2641900"", ""skills"": [""servicenow itbm"", ""servicenow technical""], ""source"": ""demand""}"
demand_DBS-__DBS-__2025__2660265,DBS-__DBS-__2025__2660265,demand,demand,senior technical lead,"chennai, india",,"job posting job title: senior technical lead location: chennai, india primary skills: full stack - java secondary skills: devops, react.js experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""senior technical lead"", ""location"": ""chennai, india"", ""parent_id"": ""DBS-__DBS-__2025__2660265"", ""skills"": [""full stack - java"", ""devops"", ""react.js""], ""source"": ""demand""}"
demand_DFS__DFS__2024__1111111,DFS__DFS__2024__1111111,demand,demand,tech lead,"virginia, usa",,"job posting job title: tech lead location: virginia, usa primary skills: react, nextjs, tailwindcss secondary skills: experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""tech lead"", ""location"": ""virginia, usa"", ""parent_id"": ""DFS__DFS__2024__1111111"", ""skills"": [""react"", ""nextjs"", ""tailwindcss""], ""source"": ""demand""}"
demand_3153,3153,demand,demand,argentina fte,"buenos aires, argentina",,"job posting job title: argentina fte location: buenos aires, argentina primary skills: sql, python, amazon glue secondary skills: experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""argentina fte"", ""location"": ""buenos aires, argentina"", ""parent_id"": ""3153"", ""skills"": [""sql"", ""python"", ""amazon glue""], ""source"": ""demand""}"
demand_4435,4435,demand,demand,azure data lead,malaysia,,"job posting job title: azure data lead location: malaysia primary skills: sql, azure databricks, azure data factory (adf), oracle pl/sql, python secondary skills: talend mdm experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""azure data lead"", ""location"": ""malaysia"", ""parent_id"": ""4435"", ""skills"": [""sql"", ""azure databricks"", ""azure data factory (adf)"", ""oracle pl/sql"", ""python"", ""talend mdm""], ""source"": ""demand""}"
demand_4570,4570,demand,demand,azure data engineer,"jakarta, indonesia",,"job posting job title: azure data engineer location: jakarta, indonesia primary skills: sql, azure data factory (adf) secondary skills: safe- lean portfolio mgt (lpm) experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""azure data engineer"", ""location"": ""jakarta, indonesia"", ""parent_id"": ""4570"", ""skills"": [""sql"", ""azure data factory (adf)"", ""safe- lean portfolio mgt (lpm)""], ""source"": ""demand""}"
demand_3733,3733,demand,demand,aws data lead,"noida, india",,"job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: aws paas experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""aws data lead"", ""location"": ""noida, india"", ""parent_id"": ""3733"", ""skills"": [""sql"", ""snowflake"", ""devops solutions"", ""python"", ""amazon glue"", ""aws paas""], ""source"": ""demand""}"
demand_3080,3080,demand,demand,aws data lead,"noida, india",,"job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: aws paas experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""aws data lead"", ""location"": ""noida, india"", ""parent_id"": ""3080"", ""skills"": [""sql"", ""snowflake"", ""devops solutions"", ""python"", ""amazon glue"", ""aws paas""], ""source"": ""demand""}"
demand_5268,5268,demand,demand,azure data engineer,"noida, india",,"job posting job title: azure data engineer location: noida, india primary skills: sql, azure data factory (adf) secondary skills: experience: 0 - 0 years","{""chunk_type"": ""demand"", ""job_title"": ""azure data engineer"", ""location"": ""noida, india"", ""parent_id"": ""5268"", ""skills"": [""sql"", ""azure data factory (adf)""], ""source"": ""demand""}"
