id,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,all_skills,skill_metadata,location,job_text
DBS-__DBS-__2025__2591399,bengaluru,india,test manager,selenium,"azure, azure api management, java",0,0,"selenium, azure, azure api management, java","{""selenium"": {""category"": ""primary""}, ""azure"": {""category"": ""secondary""}, ""azure api management"": {""category"": ""secondary""}, ""java"": {""category"": ""secondary""}}","bengaluru, india","job posting job title: test manager location: bengaluru, india primary skills: selenium secondary skills: azure, azure api management, java experience: 0 - 0 years"
DBS-__DBS-__2025__2641900,pune,india,senior technical lead,servicenow itbm,servicenow technical,0,0,"servicenow itbm, servicenow technical","{""servicenow itbm"": {""category"": ""primary""}, ""servicenow technical"": {""category"": ""secondary""}}","pune, india","job posting job title: senior technical lead location: pune, india primary skills: servicenow itbm secondary skills: servicenow technical experience: 0 - 0 years"
DBS-__DBS-__2025__2660265,chennai,india,senior technical lead,full stack - java,"devops, react.js",0,0,"full stack - java, devops, react.js","{""full stack - java"": {""category"": ""primary""}, ""devops"": {""category"": ""secondary""}, ""react.js"": {""category"": ""secondary""}}","chennai, india","job posting job title: senior technical lead location: chennai, india primary skills: full stack - java secondary skills: devops, react.js experience: 0 - 0 years"
DFS__DFS__2024__1111111,virginia,usa,tech lead,"react, nextjs, tailwindcss",,0,0,"react, nextjs, tailwindcss","{""react"": {""category"": ""primary""}, ""nextjs"": {""category"": ""primary""}, ""tailwindcss"": {""category"": ""primary""}}","virginia, usa","job posting job title: tech lead location: virginia, usa primary skills: react, nextjs, tailwindcss secondary skills: experience: 0 - 0 years"
3153,buenos aires,argentina,argentina fte,"sql, python, amazon glue",,0,0,"sql, python, amazon glue","{""sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}}","buenos aires, argentina","job posting job title: argentina fte location: buenos aires, argentina primary skills: sql, python, amazon glue secondary skills: experience: 0 - 0 years"
4435,,malaysia,azure data lead,"sql, azure databricks, azure data factory (adf), oracle pl/sql, python",talend mdm,0,0,"sql, azure databricks, azure data factory (adf), oracle pl/sql, python, talend mdm","{""sql"": {""category"": ""primary""}, ""azure databricks"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""oracle pl/sql"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""talend mdm"": {""category"": ""secondary""}}",malaysia,"job posting job title: azure data lead location: malaysia primary skills: sql, azure databricks, azure data factory (adf), oracle pl/sql, python secondary skills: talend mdm experience: 0 - 0 years"
4570,jakarta,indonesia,azure data engineer,"sql, azure data factory (adf)",safe- lean portfolio mgt (lpm),0,0,"sql, azure data factory (adf), safe- lean portfolio mgt (lpm)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}, ""safe- lean portfolio mgt (lpm)"": {""category"": ""secondary""}}","jakarta, indonesia","job posting job title: azure data engineer location: jakarta, indonesia primary skills: sql, azure data factory (adf) secondary skills: safe- lean portfolio mgt (lpm) experience: 0 - 0 years"
3733,noida,india,aws data lead,"sql, snowflake, devops solutions, python, amazon glue",aws paas,0,0,"sql, snowflake, devops solutions, python, amazon glue, aws paas","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}}","noida, india","job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: aws paas experience: 0 - 0 years"
3080,noida,india,aws data lead,"sql, snowflake, devops solutions, python, amazon glue",aws paas,0,0,"sql, snowflake, devops solutions, python, amazon glue, aws paas","{""sql"": {""category"": ""primary""}, ""snowflake"": {""category"": ""primary""}, ""devops solutions"": {""category"": ""primary""}, ""python"": {""category"": ""primary""}, ""amazon glue"": {""category"": ""primary""}, ""aws paas"": {""category"": ""secondary""}}","noida, india","job posting job title: aws data lead location: noida, india primary skills: sql, snowflake, devops solutions, python, amazon glue secondary skills: aws paas experience: 0 - 0 years"
5268,noida,india,azure data engineer,"sql, azure data factory (adf)",,0,0,"sql, azure data factory (adf)","{""sql"": {""category"": ""primary""}, ""azure data factory (adf)"": {""category"": ""primary""}}","noida, india","job posting job title: azure data engineer location: noida, india primary skills: sql, azure data factory (adf) secondary skills: experience: 0 - 0 years"
4752,,spain,microsoft full stack architect with angular,"full stack - .net, angular, asp.net mvc",,0,0,"full stack - .net, angular, asp.net mvc","{""full stack - .net"": {""category"": ""primary""}, ""angular"": {""category"": ""primary""}, ""asp.net mvc"": {""category"": ""primary""}}",spain,"job posting job title: microsoft full stack architect with angular location: spain primary skills: full stack - .net, angular, asp.net mvc secondary skills: experience: 0 - 0 years"
