id,state,city,country,job_title,primary_skills,secondary_skills,experience_lower,experience_upper,designation
DBS-__DBS-__2025__2591399,,Bengaluru,India,,Selenium,"Azure,Azure API Management,Java,",0,0,Test Manager
DBS-__DBS-__2025__2641900,,Pune,India,,ServiceNow ITBM,"ServiceNow Technical,",0,0,Senior Technical Lead
DBS-__DBS-__2025__2660265,,Chennai,India,,Full Stack - Java,"DevOps,React.js,",0,0,Senior Technical Lead
DFS__DFS__2024__1111111,,Virginia,USA,,"React,NextJS,TailwindCSS",,0,0,Tech Lead
3153,,Buenos Aires,Argentina,,"SQL,Python,Amazon Glue",,0,0,Argentina FTE
4435,,,Malaysia,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",Talend MDM,0,0,Azure Data Lead
4570,,Jakarta,Indonesia,,"SQL,Azure Data Factory (ADF)",SAFe- Lean Portfolio Mgt (LPM),0,0,Azure Data Engineer
3733,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",AWS PaaS,0,0,AWS Data Lead
3080,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",AWS PaaS,0,0,AWS Data Lead
5268,,Noida,India,,"SQL,Azure Data Factory (ADF)",,0,0,Azure Data Engineer
4752,,,Spain,,"Full Stack - .NET,Angular,ASP.Net MVC",,0,0,Microsoft Full Stack Architect with Angular
3678,,Noida,India,,"Full Stack - Java,React,Angular",,0,0,"Developer with React, Full Stack - Java, Angular"
4577,,,Japan,,"SQL,Azure Data Factory (ADF)",SAFe- Lean Portfolio Mgt (LPM),0,0,Azure Data Engineer
4542,,,Malaysia,,"SQL,Google Dataflow,Google BigQuery",AWS PaaS,0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
4657,,,Israel,,"Full Stack - .NET,Angular,ASP.Net MVC",,0,0,Microsoft Full Stack Senior Architect with Angular
3898,,Noida,India,,"SQL,Azure Data Factory (ADF)","AWS PaaS,SAFe- Agile SW Engineering (ASE)",0,0,Azure Data Engineer
3670,,,United States,,"SQL,Python,Amazon Glue",,0,0,AWS Data Engineer
3549,,,Hungary,,"SQL,Google Dataflow,Google BigQuery",Agile-Scrum (Digital),0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
3665,,,Japan,,"SQL,Google Dataflow,Google BigQuery",Talend MDM,0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
3538,,,India,,"Selenium,Python",,0,0,"Automation Tester with python,selenium"
3508,,Noida,India,,"Springboot,DevOps Solutions,Java",AWS PaaS,0,0,Full Stack Java Senior Technical Lead with  DevOps
3618,,Noida,India,,"Springboot,DevOps Solutions,Java",AWS PaaS,0,0,Full Stack Java Senior Technical Lead with  DevOps
3513,,,Italy,,"SQL,Google Dataflow,Google BigQuery",Talend MDM,0,0,"Functional Lead  with Oracle ERP Cloud - AR,GL,Order Mangement, Inventory"
4132,,Noida,India,,"Full Stack - Java,DevOps Solutions,React.js",,0,0,Full Stack Java Senior Architect with Angular
4136,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",SQL Server,0,0,AWS Data Lead
4094,,Noida,India,,"SQL,DevOps Solutions,Python,Amazon Glue",Agile-Scrum (Digital),0,0,AWS Senior Data Engineer
4248,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",,0,0,AWS Data Lead
4067,,Noida,India,,"Full Stack - .NET,Angular,ASP.Net MVC",DevOps-API_TeamCity,0,0,Microsoft Full Stack Architect with Angular
4043,,Noida,India,,"Angular,Springboot,Java",AWS PaaS,0,0,Full Stack Java Senior Architect with Angular
4389,,,United Kingdom,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",DevOps-API_Apache Ant,0,0,AWS Senior Data Lead
4027,,Noida,India,,"SQL,Snowflake,DevOps Solutions,Python,Amazon Glue",SQL Server,0,0,AWS Data Lead
4225,,Noida,India,,"Full Stack - Java,React,Angular",,0,0,"Technical Lead with React, Full Stack - Java, Angular"
4381,,Noida,India,,"HTML/CSS,Web Development_Javascript,AEM",IBM MDM,0,0,"AEM Senior Developer with Javascript, html/css"
4157,,Noida,India,,"Spring MVC,HTML,Java",,0,0,"Developer Java, Spring MVC, HTML"
4004,,Noida,India,,"SQL,DevOps Solutions,Python,Amazon Glue","SQL Server Analysis Services (SSAS),SQL Server",0,0,AWS Senior Data Engineer
4440,,,United Kingdom,,"SQL,Informatica",DevOps-API_TeamCity,0,0,Informatica Developer
4011,,Noida,India,,"SQL,Azure Data Factory (ADF)","DevOps-API_TeamCity,Agile-Scrum (Digital),Intellect - GCB",0,0,Azure Data Engineer
4483,,Neuquen,Argentina,,"SQL,Azure Data Factory (ADF)",SAFe- Lean Portfolio Mgt (LPM),0,0,Azure Data Engineer
4606,,,Egypt,,"Full Stack - Java,React,Angular",,0,0,"Developer with React, Full Stack - Java, Angular"
4716,,,Lithuania,,"SQL,Python,Amazon Glue",Talend MDM,0,0,AWS Data Engineer
4678,,,Oman,,Terraform,SAFe- Lean Portfolio Mgt (LPM),0,0,Senior Program Director
4809,,,New Zealand,,"SQL,Azure Databricks,Azure Data Factory (ADF),Oracle PL/SQL,Python",Talend MDM,0,0,Azure Data Lead
4930,,Noida,India,,SAFe- Agile SW Engineering (ASE),,0,0,Program Manager
